"Step","OGD - TrainLoss","OGD - TrainLoss__MIN","OGD - TrainLoss__MAX","SC-RMS - TrainLoss","SC-RMS - TrainLoss__MIN","SC-RMS - TrainLoss__MAX","Sc-Adagrad - TrainLoss","Sc-Adagrad - TrainLoss__MIN","Sc-Adagrad - TrainLoss__MAX","Sadam - TrainLoss","Sadam - TrainLoss__MIN","Sadam - TrainLoss__MAX","AmsGrad - TrainLoss","AmsGrad - TrainLoss__MIN","AmsGrad - TrainLoss__MAX","Adam - TrainLoss","Adam - TrainLoss__MIN","Adam - TrainLoss__MAX"
"10","384.6103038787842","384.6103038787842","384.6103038787842","333.0676679611206","333.0676679611206","333.0676679611206","334.9082109928131","334.9082109928131","334.9082109928131","289.61194610595703","289.61194610595703","289.61194610595703","302.6119616031647","302.6119616031647","302.6119616031647","303.98652362823486","303.98652362823486","303.98652362823486"
"11","381.56985878944397","381.56985878944397","381.56985878944397","328.5653612613678","328.5653612613678","328.5653612613678","330.88411021232605","330.88411021232605","330.88411021232605","287.5397779941559","287.5397779941559","287.5397779941559","300.91534972190857","300.91534972190857","300.91534972190857","301.95294666290283","301.95294666290283","301.95294666290283"
"12","378.77647614479065","378.77647614479065","378.77647614479065","325.6062617301941","325.6062617301941","325.6062617301941","327.22392988204956","327.22392988204956","327.22392988204956","284.43552899360657","284.43552899360657","284.43552899360657","298.6098966598511","298.6098966598511","298.6098966598511","299.6167426109314","299.6167426109314","299.6167426109314"
"13","376.5101144313812","376.5101144313812","376.5101144313812","322.9153368473053","322.9153368473053","322.9153368473053","324.870055437088","324.870055437088","324.870055437088","282.8590679168701","282.8590679168701","282.8590679168701","297.70424914360046","297.70424914360046","297.70424914360046","298.9055988788605","298.9055988788605","298.9055988788605"
"14","373.0544240474701","373.0544240474701","373.0544240474701","319.24433422088623","319.24433422088623","319.24433422088623","321.4439661502838","321.4439661502838","321.4439661502838","281.1842677593231","281.1842677593231","281.1842677593231","295.50136733055115","295.50136733055115","295.50136733055115","296.25244402885437","296.25244402885437","296.25244402885437"
"15","370.75396847724915","370.75396847724915","370.75396847724915","317.27638363838196","317.27638363838196","317.27638363838196","318.93367409706116","318.93367409706116","318.93367409706116","279.67442297935486","279.67442297935486","279.67442297935486","294.11577320098877","294.11577320098877","294.11577320098877","295.0496883392334","295.0496883392334","295.0496883392334"
"16","367.92404794692993","367.92404794692993","367.92404794692993","313.68702006340027","313.68702006340027","313.68702006340027","316.02255392074585","316.02255392074585","316.02255392074585","276.99708795547485","276.99708795547485","276.99708795547485","292.0168831348419","292.0168831348419","292.0168831348419","293.00910544395447","293.00910544395447","293.00910544395447"
"17","365.9867386817932","365.9867386817932","365.9867386817932","312.01664423942566","312.01664423942566","312.01664423942566","314.5415439605713","314.5415439605713","314.5415439605713","276.7901887893677","276.7901887893677","276.7901887893677","291.88503336906433","291.88503336906433","291.88503336906433","292.85957312583923","292.85957312583923","292.85957312583923"
"18","363.7295844554901","363.7295844554901","363.7295844554901","309.3657269477844","309.3657269477844","309.3657269477844","311.2429473400116","311.2429473400116","311.2429473400116","275.27364444732666","275.27364444732666","275.27364444732666","290.89635038375854","290.89635038375854","290.89635038375854","291.44299483299255","291.44299483299255","291.44299483299255"
"19","360.9336111545563","360.9336111545563","360.9336111545563","306.740681886673","306.740681886673","306.740681886673","308.94441318511963","308.94441318511963","308.94441318511963","274.2347435951233","274.2347435951233","274.2347435951233","288.41037821769714","288.41037821769714","288.41037821769714","289.74174094200134","289.74174094200134","289.74174094200134"
"20","359.5894079208374","359.5894079208374","359.5894079208374","304.4757363796234","304.4757363796234","304.4757363796234","306.4330298900604","306.4330298900604","306.4330298900604","272.78924107551575","272.78924107551575","272.78924107551575","287.6625030040741","287.6625030040741","287.6625030040741","288.4581868648529","288.4581868648529","288.4581868648529"
"21","356.84875559806824","356.84875559806824","356.84875559806824","302.5645020008087","302.5645020008087","302.5645020008087","304.7352011203766","304.7352011203766","304.7352011203766","271.3411228656769","271.3411228656769","271.3411228656769","287.2558271884918","287.2558271884918","287.2558271884918","288.35836029052734","288.35836029052734","288.35836029052734"
"22","355.34367513656616","355.34367513656616","355.34367513656616","300.53556084632874","300.53556084632874","300.53556084632874","301.83372044563293","301.83372044563293","301.83372044563293","270.4186968803406","270.4186968803406","270.4186968803406","286.66275000572205","286.66275000572205","286.66275000572205","287.70704793930054","287.70704793930054","287.70704793930054"
"23","353.1577880382538","353.1577880382538","353.1577880382538","298.1785099506378","298.1785099506378","298.1785099506378","299.699759721756","299.699759721756","299.699759721756","269.8409607410431","269.8409607410431","269.8409607410431","286.07175636291504","286.07175636291504","286.07175636291504","287.05560183525085","287.05560183525085","287.05560183525085"
"24","351.6156737804413","351.6156737804413","351.6156737804413","296.27798891067505","296.27798891067505","296.27798891067505","297.2813503742218","297.2813503742218","297.2813503742218","268.26077485084534","268.26077485084534","268.26077485084534","285.0799605846405","285.0799605846405","285.0799605846405","286.11581325531006","286.11581325531006","286.11581325531006"
"25","349.27994441986084","349.27994441986084","349.27994441986084","294.3150317668915","294.3150317668915","294.3150317668915","295.838755607605","295.838755607605","295.838755607605","267.70868372917175","267.70868372917175","267.70868372917175","284.30339646339417","284.30339646339417","284.30339646339417","285.45324540138245","285.45324540138245","285.45324540138245"
"26","347.8523819446564","347.8523819446564","347.8523819446564","293.12234020233154","293.12234020233154","293.12234020233154","294.3479108810425","294.3479108810425","294.3479108810425","266.49929213523865","266.49929213523865","266.49929213523865","282.91636300086975","282.91636300086975","282.91636300086975","284.2143895626068","284.2143895626068","284.2143895626068"
"27","346.9528183937073","346.9528183937073","346.9528183937073","291.54767894744873","291.54767894744873","291.54767894744873","293.3637270927429","293.3637270927429","293.3637270927429","266.1718330383301","266.1718330383301","266.1718330383301","283.4067494869232","283.4067494869232","283.4067494869232","284.2607741355896","284.2607741355896","284.2607741355896"
"28","345.2166783809662","345.2166783809662","345.2166783809662","290.52747678756714","290.52747678756714","290.52747678756714","291.11977076530457","291.11977076530457","291.11977076530457","265.48082065582275","265.48082065582275","265.48082065582275","282.85542607307434","282.85542607307434","282.85542607307434","283.82689476013184","283.82689476013184","283.82689476013184"
"29","343.03260040283203","343.03260040283203","343.03260040283203","288.530396938324","288.530396938324","288.530396938324","289.2612931728363","289.2612931728363","289.2612931728363","265.08196449279785","265.08196449279785","265.08196449279785","282.1907823085785","282.1907823085785","282.1907823085785","283.11794686317444","283.11794686317444","283.11794686317444"
"30","342.0533814430237","342.0533814430237","342.0533814430237","287.50379157066345","287.50379157066345","287.50379157066345","289.09380650520325","289.09380650520325","289.09380650520325","263.7673463821411","263.7673463821411","263.7673463821411","281.26694345474243","281.26694345474243","281.26694345474243","282.276734828949","282.276734828949","282.276734828949"
"31","339.4295446872711","339.4295446872711","339.4295446872711","285.3527367115021","285.3527367115021","285.3527367115021","286.68741250038147","286.68741250038147","286.68741250038147","262.92564630508423","262.92564630508423","262.92564630508423","280.84628081321716","280.84628081321716","280.84628081321716","282.6856458187103","282.6856458187103","282.6856458187103"
"32","338.42040061950684","338.42040061950684","338.42040061950684","284.7618682384491","284.7618682384491","284.7618682384491","285.90073227882385","285.90073227882385","285.90073227882385","261.79874873161316","261.79874873161316","261.79874873161316","279.47095465660095","279.47095465660095","279.47095465660095","280.57427644729614","280.57427644729614","280.57427644729614"
"33","336.2526741027832","336.2526741027832","336.2526741027832","283.4928488731384","283.4928488731384","283.4928488731384","284.8538761138916","284.8538761138916","284.8538761138916","261.72105288505554","261.72105288505554","261.72105288505554","279.6943185329437","279.6943185329437","279.6943185329437","281.0100517272949","281.0100517272949","281.0100517272949"
"34","335.1351053714752","335.1351053714752","335.1351053714752","282.4863784313202","282.4863784313202","282.4863784313202","283.45389461517334","283.45389461517334","283.45389461517334","260.81555366516113","260.81555366516113","260.81555366516113","277.90824127197266","277.90824127197266","277.90824127197266","279.6375734806061","279.6375734806061","279.6375734806061"
"35","334.4748089313507","334.4748089313507","334.4748089313507","281.83420848846436","281.83420848846436","281.83420848846436","282.80181217193604","282.80181217193604","282.80181217193604","260.84552097320557","260.84552097320557","260.84552097320557","278.4746959209442","278.4746959209442","278.4746959209442","279.9794182777405","279.9794182777405","279.9794182777405"
"36","332.8911144733429","332.8911144733429","332.8911144733429","280.9814398288727","280.9814398288727","280.9814398288727","281.2291738986969","281.2291738986969","281.2291738986969","260.2265958786011","260.2265958786011","260.2265958786011","277.9293119907379","277.9293119907379","277.9293119907379","279.24563932418823","279.24563932418823","279.24563932418823"
"37","332.25412583351135","332.25412583351135","332.25412583351135","279.6869378089905","279.6869378089905","279.6869378089905","281.1112847328186","281.1112847328186","281.1112847328186","259.3058500289917","259.3058500289917","259.3058500289917","278.52659726142883","278.52659726142883","278.52659726142883","279.34800386428833","279.34800386428833","279.34800386428833"
"38","330.2423951625824","330.2423951625824","330.2423951625824","279.176465511322","279.176465511322","279.176465511322","280.18840432167053","280.18840432167053","280.18840432167053","258.7366406917572","258.7366406917572","258.7366406917572","277.1663851737976","277.1663851737976","277.1663851737976","278.14435839653015","278.14435839653015","278.14435839653015"
"39","329.17446398735046","329.17446398735046","329.17446398735046","277.80089807510376","277.80089807510376","277.80089807510376","278.7998323440552","278.7998323440552","278.7998323440552","259.5221519470215","259.5221519470215","259.5221519470215","276.8915455341339","276.8915455341339","276.8915455341339","278.32011699676514","278.32011699676514","278.32011699676514"
"40","327.8806343078613","327.8806343078613","327.8806343078613","277.4375231266022","277.4375231266022","277.4375231266022","277.81515645980835","277.81515645980835","277.81515645980835","257.7275400161743","257.7275400161743","257.7275400161743","276.17055916786194","276.17055916786194","276.17055916786194","277.1581480503082","277.1581480503082","277.1581480503082"
"41","326.88512086868286","326.88512086868286","326.88512086868286","276.5192017555237","276.5192017555237","276.5192017555237","277.1126947402954","277.1126947402954","277.1126947402954","257.73511481285095","257.73511481285095","257.73511481285095","276.2849853038788","276.2849853038788","276.2849853038788","277.5903015136719","277.5903015136719","277.5903015136719"
"42","325.9528729915619","325.9528729915619","325.9528729915619","276.085608959198","276.085608959198","276.085608959198","276.1842350959778","276.1842350959778","276.1842350959778","257.1195058822632","257.1195058822632","257.1195058822632","275.33360505104065","275.33360505104065","275.33360505104065","276.8187096118927","276.8187096118927","276.8187096118927"
"43","325.07214426994324","325.07214426994324","325.07214426994324","275.5123815536499","275.5123815536499","275.5123815536499","275.9734437465668","275.9734437465668","275.9734437465668","256.9213037490845","256.9213037490845","256.9213037490845","275.5666928291321","275.5666928291321","275.5666928291321","276.7788054943085","276.7788054943085","276.7788054943085"
"44","323.74668741226196","323.74668741226196","323.74668741226196","274.11250042915344","274.11250042915344","274.11250042915344","274.66145300865173","274.66145300865173","274.66145300865173","256.70792412757874","256.70792412757874","256.70792412757874","275.2139799594879","275.2139799594879","275.2139799594879","276.41947841644287","276.41947841644287","276.41947841644287"
"45","323.2614207267761","323.2614207267761","323.2614207267761","274.10011196136475","274.10011196136475","274.10011196136475","275.62399220466614","275.62399220466614","275.62399220466614","256.6807818412781","256.6807818412781","256.6807818412781","275.0235095024109","275.0235095024109","275.0235095024109","276.63435316085815","276.63435316085815","276.63435316085815"
"46","321.8642301559448","321.8642301559448","321.8642301559448","273.13330125808716","273.13330125808716","273.13330125808716","274.2750475406647","274.2750475406647","274.2750475406647","256.3725118637085","256.3725118637085","256.3725118637085","274.7199652194977","274.7199652194977","274.7199652194977","276.0717215538025","276.0717215538025","276.0717215538025"
"47","321.3340060710907","321.3340060710907","321.3340060710907","273.05319237709045","273.05319237709045","273.05319237709045","274.4194989204407","274.4194989204407","274.4194989204407","256.8216555118561","256.8216555118561","256.8216555118561","273.8024089336395","273.8024089336395","273.8024089336395","275.53567457199097","275.53567457199097","275.53567457199097"
"48","320.2980134487152","320.2980134487152","320.2980134487152","271.81250977516174","271.81250977516174","271.81250977516174","273.13171434402466","273.13171434402466","273.13171434402466","255.4818296432495","255.4818296432495","255.4818296432495","273.29417538642883","273.29417538642883","273.29417538642883","274.72636795043945","274.72636795043945","274.72636795043945"
"49","319.83726596832275","319.83726596832275","319.83726596832275","271.5765986442566","271.5765986442566","271.5765986442566","271.987829208374","271.987829208374","271.987829208374","255.01752305030823","255.01752305030823","255.01752305030823","273.8656072616577","273.8656072616577","273.8656072616577","274.9940266609192","274.9940266609192","274.9940266609192"
"50","318.80399441719055","318.80399441719055","318.80399441719055","271.693998336792","271.693998336792","271.693998336792","271.82310366630554","271.82310366630554","271.82310366630554","255.61566877365112","255.61566877365112","255.61566877365112","272.97834849357605","272.97834849357605","272.97834849357605","274.7445843219757","274.7445843219757","274.7445843219757"
"51","317.41641569137573","317.41641569137573","317.41641569137573","269.87428617477417","269.87428617477417","269.87428617477417","270.67018246650696","270.67018246650696","270.67018246650696","254.0207118988037","254.0207118988037","254.0207118988037","271.85839653015137","271.85839653015137","271.85839653015137","273.5869481563568","273.5869481563568","273.5869481563568"
"52","316.8450131416321","316.8450131416321","316.8450131416321","270.2821168899536","270.2821168899536","270.2821168899536","270.4955503940582","270.4955503940582","270.4955503940582","254.79900193214417","254.79900193214417","254.79900193214417","272.1637361049652","272.1637361049652","272.1637361049652","273.167507648468","273.167507648468","273.167507648468"
"53","316.48815274238586","316.48815274238586","316.48815274238586","269.71801924705505","269.71801924705505","269.71801924705505","270.28124165534973","270.28124165534973","270.28124165534973","253.77384853363037","253.77384853363037","253.77384853363037","271.6853346824646","271.6853346824646","271.6853346824646","272.648734331131","272.648734331131","272.648734331131"
"54","314.95401406288147","314.95401406288147","314.95401406288147","269.1116943359375","269.1116943359375","269.1116943359375","270.35286116600037","270.35286116600037","270.35286116600037","253.8000557422638","253.8000557422638","253.8000557422638","272.1439607143402","272.1439607143402","272.1439607143402","273.0427839756012","273.0427839756012","273.0427839756012"
"55","314.4606158733368","314.4606158733368","314.4606158733368","268.0402545928955","268.0402545928955","268.0402545928955","268.8880636692047","268.8880636692047","268.8880636692047","253.33064651489258","253.33064651489258","253.33064651489258","272.13043999671936","272.13043999671936","272.13043999671936","273.2307906150818","273.2307906150818","273.2307906150818"
"56","313.31756496429443","313.31756496429443","313.31756496429443","268.50967955589294","268.50967955589294","268.50967955589294","268.5068371295929","268.5068371295929","268.5068371295929","253.09234833717346","253.09234833717346","253.09234833717346","271.499507188797","271.499507188797","271.499507188797","272.5023913383484","272.5023913383484","272.5023913383484"
"57","313.7276351451874","313.7276351451874","313.7276351451874","268.1031012535095","268.1031012535095","268.1031012535095","268.6500086784363","268.6500086784363","268.6500086784363","252.9984052181244","252.9984052181244","252.9984052181244","271.4728789329529","271.4728789329529","271.4728789329529","272.43400835990906","272.43400835990906","272.43400835990906"
"58","312.4375846385956","312.4375846385956","312.4375846385956","267.3995695114136","267.3995695114136","267.3995695114136","268.07738065719604","268.07738065719604","268.07738065719604","253.43229746818542","253.43229746818542","253.43229746818542","271.06839418411255","271.06839418411255","271.06839418411255","271.56242752075195","271.56242752075195","271.56242752075195"
"59","311.46843338012695","311.46843338012695","311.46843338012695","266.6917200088501","266.6917200088501","266.6917200088501","267.27701234817505","267.27701234817505","267.27701234817505","253.1839644908905","253.1839644908905","253.1839644908905","271.08512258529663","271.08512258529663","271.08512258529663","271.79920721054077","271.79920721054077","271.79920721054077"
"60","310.8673288822174","310.8673288822174","310.8673288822174","266.79037976264954","266.79037976264954","266.79037976264954","267.0983262062073","267.0983262062073","267.0983262062073","252.33619022369385","252.33619022369385","252.33619022369385","271.2529375553131","271.2529375553131","271.2529375553131","271.66074419021606","271.66074419021606","271.66074419021606"
"61","309.9165918827057","309.9165918827057","309.9165918827057","265.5298833847046","265.5298833847046","265.5298833847046","267.1119089126587","267.1119089126587","267.1119089126587","252.488440990448","252.488440990448","252.488440990448","270.9458487033844","270.9458487033844","270.9458487033844","271.6279044151306","271.6279044151306","271.6279044151306"
"62","309.4632589817047","309.4632589817047","309.4632589817047","265.4965944290161","265.4965944290161","265.4965944290161","266.240519285202","266.240519285202","266.240519285202","251.50824880599976","251.50824880599976","251.50824880599976","268.9074101448059","268.9074101448059","268.9074101448059","270.13335251808167","270.13335251808167","270.13335251808167"
"63","309.0568046569824","309.0568046569824","309.0568046569824","265.9938178062439","265.9938178062439","265.9938178062439","265.88718342781067","265.88718342781067","265.88718342781067","251.1569423675537","251.1569423675537","251.1569423675537","268.3665521144867","268.3665521144867","268.3665521144867","269.5447459220886","269.5447459220886","269.5447459220886"
"64","308.3525574207306","308.3525574207306","308.3525574207306","264.85867714881897","264.85867714881897","264.85867714881897","265.1765124797821","265.1765124797821","265.1765124797821","250.88651728630066","250.88651728630066","250.88651728630066","269.51426935195923","269.51426935195923","269.51426935195923","269.96917176246643","269.96917176246643","269.96917176246643"
"65","306.96822237968445","306.96822237968445","306.96822237968445","264.98944306373596","264.98944306373596","264.98944306373596","265.3088731765747","265.3088731765747","265.3088731765747","251.30680084228516","251.30680084228516","251.30680084228516","269.33126497268677","269.33126497268677","269.33126497268677","270.41322326660156","270.41322326660156","270.41322326660156"
"66","306.0799882411957","306.0799882411957","306.0799882411957","264.2668614387512","264.2668614387512","264.2668614387512","264.3357644081116","264.3357644081116","264.3357644081116","251.4501268863678","251.4501268863678","251.4501268863678","268.5544641017914","268.5544641017914","268.5544641017914","269.75897550582886","269.75897550582886","269.75897550582886"
"67","306.3782649040222","306.3782649040222","306.3782649040222","264.9660885334015","264.9660885334015","264.9660885334015","264.54533791542053","264.54533791542053","264.54533791542053","250.346129655838","250.346129655838","250.346129655838","268.44976592063904","268.44976592063904","268.44976592063904","269.9994626045227","269.9994626045227","269.9994626045227"
"68","305.10358572006226","305.10358572006226","305.10358572006226","264.7256383895874","264.7256383895874","264.7256383895874","264.43339467048645","264.43339467048645","264.43339467048645","251.28508520126343","251.28508520126343","251.28508520126343","268.8768312931061","268.8768312931061","268.8768312931061","269.5677888393402","269.5677888393402","269.5677888393402"
"69","304.2209870815277","304.2209870815277","304.2209870815277","264.1073229312897","264.1073229312897","264.1073229312897","264.3050448894501","264.3050448894501","264.3050448894501","250.68814659118652","250.68814659118652","250.68814659118652","269.4096555709839","269.4096555709839","269.4096555709839","270.44129514694214","270.44129514694214","270.44129514694214"
"70","303.1467525959015","303.1467525959015","303.1467525959015","262.8568878173828","262.8568878173828","262.8568878173828","262.8627989292145","262.8627989292145","262.8627989292145","249.88228559494019","249.88228559494019","249.88228559494019","268.60211062431335","268.60211062431335","268.60211062431335","269.63191628456116","269.63191628456116","269.63191628456116"
"71","302.0259518623352","302.0259518623352","302.0259518623352","262.7901690006256","262.7901690006256","262.7901690006256","262.84369587898254","262.84369587898254","262.84369587898254","249.7457582950592","249.7457582950592","249.7457582950592","266.78867292404175","266.78867292404175","266.78867292404175","268.032835483551","268.032835483551","268.032835483551"
"72","301.64362812042236","301.64362812042236","301.64362812042236","262.13465905189514","262.13465905189514","262.13465905189514","262.8307418823242","262.8307418823242","262.8307418823242","250.29642295837402","250.29642295837402","250.29642295837402","268.90677976608276","268.90677976608276","268.90677976608276","268.9631624221802","268.9631624221802","268.9631624221802"
"73","300.78614044189453","300.78614044189453","300.78614044189453","262.241060256958","262.241060256958","262.241060256958","261.93099665641785","261.93099665641785","261.93099665641785","249.20532488822937","249.20532488822937","249.20532488822937","267.46134638786316","267.46134638786316","267.46134638786316","268.9247431755066","268.9247431755066","268.9247431755066"
"74","300.64647817611694","300.64647817611694","300.64647817611694","262.3744180202484","262.3744180202484","262.3744180202484","262.1046426296234","262.1046426296234","262.1046426296234","249.66161274909973","249.66161274909973","249.66161274909973","267.92897629737854","267.92897629737854","267.92897629737854","268.3194408416748","268.3194408416748","268.3194408416748"
"75","299.1726744174957","299.1726744174957","299.1726744174957","262.01499128341675","262.01499128341675","262.01499128341675","261.96849608421326","261.96849608421326","261.96849608421326","248.78865957260132","248.78865957260132","248.78865957260132","267.722687959671","267.722687959671","267.722687959671","267.7438929080963","267.7438929080963","267.7438929080963"
"76","298.5349850654602","298.5349850654602","298.5349850654602","261.0647437572479","261.0647437572479","261.0647437572479","260.8769693374634","260.8769693374634","260.8769693374634","248.64065551757812","248.64065551757812","248.64065551757812","267.00200510025024","267.00200510025024","267.00200510025024","267.9821848869324","267.9821848869324","267.9821848869324"
"77","298.33406710624695","298.33406710624695","298.33406710624695","261.0355350971222","261.0355350971222","261.0355350971222","261.11515617370605","261.11515617370605","261.11515617370605","249.07572054862976","249.07572054862976","249.07572054862976","267.28920221328735","267.28920221328735","267.28920221328735","268.4039614200592","268.4039614200592","268.4039614200592"
"78","297.03501868247986","297.03501868247986","297.03501868247986","261.5413362979889","261.5413362979889","261.5413362979889","261.162752866745","261.162752866745","261.162752866745","249.14460849761963","249.14460849761963","249.14460849761963","266.3575084209442","266.3575084209442","266.3575084209442","267.30761909484863","267.30761909484863","267.30761909484863"
"79","296.1566150188446","296.1566150188446","296.1566150188446","260.75284790992737","260.75284790992737","260.75284790992737","261.2567400932312","261.2567400932312","261.2567400932312","248.9229097366333","248.9229097366333","248.9229097366333","266.6058633327484","266.6058633327484","266.6058633327484","267.5313377380371","267.5313377380371","267.5313377380371"
"80","295.6607096195221","295.6607096195221","295.6607096195221","260.63403701782227","260.63403701782227","260.63403701782227","261.08978748321533","261.08978748321533","261.08978748321533","248.58069682121277","248.58069682121277","248.58069682121277","266.57158732414246","266.57158732414246","266.57158732414246","267.542179107666","267.542179107666","267.542179107666"
"81","294.6009612083435","294.6009612083435","294.6009612083435","260.739648103714","260.739648103714","260.739648103714","261.11759400367737","261.11759400367737","261.11759400367737","248.6448233127594","248.6448233127594","248.6448233127594","265.6445064544678","265.6445064544678","265.6445064544678","266.82590079307556","266.82590079307556","266.82590079307556"
"82","294.39330196380615","294.39330196380615","294.39330196380615","260.04842877388","260.04842877388","260.04842877388","260.1643388271332","260.1643388271332","260.1643388271332","248.76356530189514","248.76356530189514","248.76356530189514","265.9959216117859","265.9959216117859","265.9959216117859","267.03365683555603","267.03365683555603","267.03365683555603"
"83","293.10582852363586","293.10582852363586","293.10582852363586","259.4225854873657","259.4225854873657","259.4225854873657","259.919814825058","259.919814825058","259.919814825058","247.55333042144775","247.55333042144775","247.55333042144775","265.74154829978943","265.74154829978943","265.74154829978943","265.96534490585327","265.96534490585327","265.96534490585327"
"84","291.82357144355774","291.82357144355774","291.82357144355774","259.207555770874","259.207555770874","259.207555770874","259.2958290576935","259.2958290576935","259.2958290576935","247.5540943145752","247.5540943145752","247.5540943145752","265.5665373802185","265.5665373802185","265.5665373802185","267.3402943611145","267.3402943611145","267.3402943611145"
"85","292.1728982925415","292.1728982925415","292.1728982925415","259.3741149902344","259.3741149902344","259.3741149902344","259.31543254852295","259.31543254852295","259.31543254852295","247.6497242450714","247.6497242450714","247.6497242450714","265.73857831954956","265.73857831954956","265.73857831954956","266.92518424987793","266.92518424987793","266.92518424987793"
"86","291.89488530158997","291.89488530158997","291.89488530158997","259.2475252151489","259.2475252151489","259.2475252151489","259.19349122047424","259.19349122047424","259.19349122047424","247.08256149291992","247.08256149291992","247.08256149291992","265.054815530777","265.054815530777","265.054815530777","266.05850648880005","266.05850648880005","266.05850648880005"
"87","291.49259328842163","291.49259328842163","291.49259328842163","259.58342933654785","259.58342933654785","259.58342933654785","259.5961389541626","259.5961389541626","259.5961389541626","247.83803939819336","247.83803939819336","247.83803939819336","264.6873164176941","264.6873164176941","264.6873164176941","265.3112976551056","265.3112976551056","265.3112976551056"
"88","290.4617464542389","290.4617464542389","290.4617464542389","258.9461760520935","258.9461760520935","258.9461760520935","258.4033136367798","258.4033136367798","258.4033136367798","248.1204285621643","248.1204285621643","248.1204285621643","265.2718586921692","265.2718586921692","265.2718586921692","266.35500049591064","266.35500049591064","266.35500049591064"
"89","289.2252538204193","289.2252538204193","289.2252538204193","258.64496636390686","258.64496636390686","258.64496636390686","258.93582797050476","258.93582797050476","258.93582797050476","247.73556447029114","247.73556447029114","247.73556447029114","265.8086085319519","265.8086085319519","265.8086085319519","266.07488489151","266.07488489151","266.07488489151"
"90","289.4963653087616","289.4963653087616","289.4963653087616","259.30742025375366","259.30742025375366","259.30742025375366","257.43611550331116","257.43611550331116","257.43611550331116","246.43929362297058","246.43929362297058","246.43929362297058","263.86878418922424","263.86878418922424","263.86878418922424","264.41068863868713","264.41068863868713","264.41068863868713"
