"Step","OGD - TrainLoss","OGD - TrainLoss__MIN","OGD - TrainLoss__MAX","Sadam - TrainLoss","Sadam - TrainLoss__MIN","Sadam - TrainLoss__MAX","SCRms - TrainLoss","SCRms - TrainLoss__MIN","SCRms - TrainLoss__MAX","SCadagrad - TrainLoss","SCadagrad - TrainLoss__MIN","SCadagrad - TrainLoss__MAX","Amsgrad - TrainLoss","Amsgrad - TrainLoss__MIN","Amsgrad - TrainLoss__MAX","Adam - TrainLoss","Adam - TrainLoss__MIN","Adam - TrainLoss__MAX"
"0","824.1046527773142","824.1046527773142","824.1046527773142","202.3270664429292","202.3270664429292","202.3270664429292","302.0468160100281","302.0468160100281","302.0468160100281","300.52444006316364","300.52444006316364","300.52444006316364","219.08110399451107","219.08110399451107","219.08110399451107","218.92342671891674","218.92342671891674","218.92342671891674"
"1","298.3724989518523","298.3724989518523","298.3724989518523","77.41578213474713","77.41578213474713","77.41578213474713","101.09153098240495","101.09153098240495","101.09153098240495","98.70262490864843","98.70262490864843","98.70262490864843","84.37707433151081","84.37707433151081","84.37707433151081","85.21167875919491","85.21167875919491","85.21167875919491"
"2","216.59390813857317","216.59390813857317","216.59390813857317","58.86723865987733","58.86723865987733","58.86723865987733","77.1449909619987","77.1449909619987","77.1449909619987","75.95968305459246","75.95968305459246","75.95968305459246","65.04109905986115","65.04109905986115","65.04109905986115","65.14968629134819","65.14968629134819","65.14968629134819"
"3","167.40056466311216","167.40056466311216","167.40056466311216","50.15170331345871","50.15170331345871","50.15170331345871","62.11541321268305","62.11541321268305","62.11541321268305","61.26459119678475","61.26459119678475","61.26459119678475","54.226494329748675","54.226494329748675","54.226494329748675","56.73439455637708","56.73439455637708","56.73439455637708"
"4","143.4745645672083","143.4745645672083","143.4745645672083","42.27801215124782","42.27801215124782","42.27801215124782","54.19329870084766","54.19329870084766","54.19329870084766","53.75588246260304","53.75588246260304","53.75588246260304","46.135378917853814","46.135378917853814","46.135378917853814","48.3466609417228","48.3466609417228","48.3466609417228"
"5","124.72960856370628","124.72960856370628","124.72960856370628","37.38734048284823","37.38734048284823","37.38734048284823","49.11576283001341","49.11576283001341","49.11576283001341","49.33596499543637","49.33596499543637","49.33596499543637","40.5450725730625","40.5450725730625","40.5450725730625","43.32467771222582","43.32467771222582","43.32467771222582"
"6","111.08244520518929","111.08244520518929","111.08244520518929","32.523878480133135","32.523878480133135","32.523878480133135","45.36739588645287","45.36739588645287","45.36739588645287","44.62228861404583","44.62228861404583","44.62228861404583","34.6105037847592","34.6105037847592","34.6105037847592","34.933504168802756","34.933504168802756","34.933504168802756"
"7","100.65734880324453","100.65734880324453","100.65734880324453","30.339832023106283","30.339832023106283","30.339832023106283","40.59116675821133","40.59116675821133","40.59116675821133","39.91481067892164","39.91481067892164","39.91481067892164","30.696126797847683","30.696126797847683","30.696126797847683","33.81161961297039","33.81161961297039","33.81161961297039"
"8","92.88493698090315","92.88493698090315","92.88493698090315","28.571613528416492","28.571613528416492","28.571613528416492","38.69015331962146","38.69015331962146","38.69015331962146","37.57497377623804","37.57497377623804","37.57497377623804","30.63481198842055","30.63481198842055","30.63481198842055","31.99177805375075","31.99177805375075","31.99177805375075"
"9","85.47283964045346","85.47283964045346","85.47283964045346","24.988203050132142","24.988203050132142","24.988203050132142","34.51743252610322","34.51743252610322","34.51743252610322","34.00735624274239","34.00735624274239","34.00735624274239","27.303007323964266","27.303007323964266","27.303007323964266","27.61083913627226","27.61083913627226","27.61083913627226"
"10","81.26324855769053","81.26324855769053","81.26324855769053","23.20368169719586","23.20368169719586","23.20368169719586","32.05493949900847","32.05493949900847","32.05493949900847","32.06364986533299","32.06364986533299","32.06364986533299","24.715009129227838","24.715009129227838","24.715009129227838","25.340976231664172","25.340976231664172","25.340976231664172"
