"Step","OGD - TrainLoss","OGD - TrainLoss__MIN","OGD - TrainLoss__MAX","AmsGrad - TrainLoss","AmsGrad - TrainLoss__MIN","AmsGrad - TrainLoss__MAX","SC-Adagrad - TrainLoss","SC-Adagrad - TrainLoss__MIN","SC-Adagrad - TrainLoss__MAX","SC-RMS - TrainLoss","SC-RMS - TrainLoss__MIN","SC-RMS - TrainLoss__MAX","Sadam - TrainLoss","Sadam - TrainLoss__MIN","Sadam - TrainLoss__MAX","Adam - TrainLoss","Adam - TrainLoss__MIN","Adam - TrainLoss__MAX"
"0","1071.1374512314796","1071.1374512314796","1071.1374512314796","1046.102464556694","1046.102464556694","1046.102464556694","1009.8305813074112","1009.8305813074112","1009.8305813074112","1006.9504140019417","1006.9504140019417","1006.9504140019417","1106.3276310563087","1106.3276310563087","1106.3276310563087","1044.8641698360443","1044.8641698360443","1044.8641698360443"
"1","702.4418668150902","702.4418668150902","702.4418668150902","671.0388860106468","671.0388860106468","671.0388860106468","567.9146664142609","567.9146664142609","567.9146664142609","558.3704176843166","558.3704176843166","558.3704176843166","692.0048947930336","692.0048947930336","692.0048947930336","673.1060194373131","673.1060194373131","673.1060194373131"
"2","509.89943104982376","509.89943104982376","509.89943104982376","499.24230003356934","499.24230003356934","499.24230003356934","396.4855435192585","396.4855435192585","396.4855435192585","390.31652185320854","390.31652185320854","390.31652185320854","501.4591284096241","501.4591284096241","501.4591284096241","504.1302511692047","504.1302511692047","504.1302511692047"
"3","361.3022009283304","361.3022009283304","361.3022009283304","387.9262616932392","387.9262616932392","387.9262616932392","283.0115724802017","283.0115724802017","283.0115724802017","278.71238945424557","278.71238945424557","278.71238945424557","384.2575066834688","384.2575066834688","384.2575066834688","394.4988764077425","394.4988764077425","394.4988764077425"
"4","239.5283511504531","239.5283511504531","239.5283511504531","297.8175303041935","297.8175303041935","297.8175303041935","187.7269508317113","187.7269508317113","187.7269508317113","185.28211344778538","185.28211344778538","185.28211344778538","295.9521218761802","295.9521218761802","295.9521218761802","306.0299150273204","306.0299150273204","306.0299150273204"
"5","140.69401047378778","140.69401047378778","140.69401047378778","222.51071169227362","222.51071169227362","222.51071169227362","112.52303341776133","112.52303341776133","112.52303341776133","111.16281200572848","111.16281200572848","111.16281200572848","217.07268735021353","217.07268735021353","217.07268735021353","236.22835364937782","236.22835364937782","236.22835364937782"
"6","80.5984331741929","80.5984331741929","80.5984331741929","159.51309735700488","159.51309735700488","159.51309735700488","63.62957902532071","63.62957902532071","63.62957902532071","64.17171593755484","64.17171593755484","64.17171593755484","148.57763272337615","148.57763272337615","148.57763272337615","172.31824347563088","172.31824347563088","172.31824347563088"
"7","47.10488183470443","47.10488183470443","47.10488183470443","109.20778485946357","109.20778485946357","109.20778485946357","34.528680921532214","34.528680921532214","34.528680921532214","28.340102966874838","28.340102966874838","28.340102966874838","96.60042210668325","96.60042210668325","96.60042210668325","124.53580111265182","124.53580111265182","124.53580111265182"
"8","36.870165477041155","36.870165477041155","36.870165477041155","78.42711817007512","78.42711817007512","78.42711817007512","21.860329114133492","21.860329114133492","21.860329114133492","24.572223883122206","24.572223883122206","24.572223883122206","62.18167902948335","62.18167902948335","62.18167902948335","94.24559396132827","94.24559396132827","94.24559396132827"
"9","18.843481204123236","18.843481204123236","18.843481204123236","53.129424621816725","53.129424621816725","53.129424621816725","9.075719505082816","9.075719505082816","9.075719505082816","8.27441629418172","8.27441629418172","8.27441629418172","36.20873352419585","36.20873352419585","36.20873352419585","69.58573928195983","69.58573928195983","69.58573928195983"
